tipo_manutencao,observacoes,custo_por_km_medio,custo_por_km_mediano_positivo,taxa_ocorrencia,custo_preventivo_total
MAINT,332756,0.02904499348894729,0.051760159388627,0.2022052194400702,16969491.82
MIX,5845,0.03022579134004422,0.0412043548125155,0.17724550898203592,402752.55
NET,11663,0.001165784747503176,0.0506269733864238,0.010288947955071594,22811.96
,1802,0.02524135678913599,0.0476376310571462,0.12264150943396226,65033.26
