checagem,valor
linhas,749664
meses_sem_ipca,0
alvo_preventivo_deflacionado_valido,352066
alvo_mao_obra_preventiva_deflacionado_valido,352066
mes_base,2025-12
fonte,BCB SGS 433 - IPCA mensal
