ano,custo_nominal,custo_real,carretas,custo_real_medio_carreta,custo_nominal_mi,custo_real_mi
2020,7120234.87,8580750.610110512,6524,1315.2591370494347,7.12,8.581
2021,8070304.39,9399529.348767942,7365,1276.2429529895373,8.07,9.4
2022,11285144.89,12296745.26410692,7885,1559.511130514511,11.285,12.297
2023,14534483.540000001,15261736.000508713,8518,1791.7041559648642,14.534,15.262
2024,15880438.41,16285300.768372172,8661,1880.3025942006896,15.88,16.285
2025,17726148.1,17821054.69204279,8762,2033.9026126503984,17.726,17.821
