cenario,A_todos_sem_contrato__modelo,A_todos_sem_contrato__r2,A_todos_sem_contrato__rmse,B_todos_com_contrato__modelo,B_todos_com_contrato__r2,B_todos_com_contrato__rmse,C_maint_com_contrato__modelo,C_maint_com_contrato__r2,C_maint_com_contrato__rmse,delta_r2_contrato,delta_r2_filtro_maint
explicativo,random_forest,0.5644,1774.3,gradient_boosting,0.5776,1747.4,gradient_boosting,0.5673,1784.2,0.0132,-0.0103
preditivo,random_forest,0.4059,2072.3,gradient_boosting,0.4418,2008.7,random_forest,0.4435,2023.2,0.0359,0.0017
