fold,modelo,treino_inicio,treino_fim,validacao_inicio,validacao_fim,r2,rmse,mae
1,ridge_log1p,2020-01-01,2021-12-01,2022-01-01,2022-06-01,0.04190903923533651,0.19126125630526578,0.08422052504183553
1,arvore_decisao,2020-01-01,2021-12-01,2022-01-01,2022-06-01,0.0280320496124139,0.19264139083688314,0.09196316556229926
1,gradient_boosting,2020-01-01,2021-12-01,2022-01-01,2022-06-01,0.07906616327069027,0.18751579165401921,0.09094410075320232
2,ridge_log1p,2020-01-01,2023-03-01,2023-04-01,2023-09-01,0.03410687168961557,0.2280626968425126,0.10783926009348953
2,arvore_decisao,2020-01-01,2023-03-01,2023-04-01,2023-09-01,0.02709427925185648,0.22888909178788375,0.11444183974813375
2,gradient_boosting,2020-01-01,2023-03-01,2023-04-01,2023-09-01,0.057912816409050105,0.22523468224081786,0.1148549378115991
3,ridge_log1p,2020-01-01,2024-06-01,2024-07-01,2024-12-01,0.029130349778800246,0.22521100687619314,0.11362292144949541
3,arvore_decisao,2020-01-01,2024-06-01,2024-07-01,2024-12-01,0.00559853832663848,0.22792398355364235,0.12086146314616042
3,gradient_boosting,2020-01-01,2024-06-01,2024-07-01,2024-12-01,0.04244171994723289,0.22366177011822364,0.12064101404102616
