caminho,modelo,r2,rmse,mae,delta_r2_vs_direto
direto (Y1),gradient_boosting,0.4418,2008.7,1074.3,0.0
decomposto (Y2 x Y3),Y2:random_forest | Y3:random_forest,0.4713,1954.9,1059.0,0.0295
