id_os,tem_linha_preventiva,tem_linha_nao_preventiva,linhas_mao_obra,os_preventiva_mista
100870466,False,True,3,False
100873964,False,True,2,False
100875343,False,True,1,False
100875388,False,True,1,False
100875771,True,True,4,True
100875830,False,True,1,False
100876056,False,True,3,False
100876598,False,True,1,False
100876975,True,False,1,False
100877949,True,True,7,True
100878785,True,True,3,True
100878848,False,True,2,False
100880828,False,True,1,False
100880843,True,True,2,True
100880980,False,True,1,False
100887378,False,True,2,False
100887639,True,True,2,True
100888012,True,True,3,True
100888048,True,True,4,True
100888292,True,True,10,True
100888665,True,True,3,True
100888889,True,True,4,True
100889466,True,True,4,True
100889600,True,True,3,True
100891188,True,True,6,True
100892510,True,True,6,True
100893030,True,True,2,True
100894004,True,True,3,True
100894049,True,True,3,True
100894200,True,False,1,False
100894284,True,True,3,True
100894290,True,True,3,True
100894726,False,True,1,False
100894765,False,True,1,False
100894829,False,True,1,False
100894871,False,True,1,False
100894885,False,True,1,False
100894924,False,True,1,False
100895105,False,True,1,False
100895480,True,True,3,True
100895814,False,True,3,False
100896009,True,True,2,True
100896218,True,True,2,True
100897226,True,True,2,True
100898021,True,True,2,True
100898241,False,True,1,False
100898430,False,True,2,False
100898719,True,True,6,True
100900001,True,True,3,True
100900015,True,True,7,True
100900448,True,True,2,True
100900629,True,True,3,True
100900915,True,True,3,True
100901705,False,True,1,False
100901764,False,True,2,False
100902805,False,True,4,False
100902962,True,True,5,True
100903106,True,True,4,True
100903312,True,True,8,True
100903369,True,True,3,True
100904287,True,True,2,True
100904450,True,True,4,True
100904638,False,True,1,False
100905489,True,True,6,True
100905862,True,True,5,True
100906132,True,True,3,True
100906312,True,True,3,True
100906348,False,True,1,False
100906512,True,True,3,True
100907007,False,True,2,False
100907623,True,True,8,True
100907632,False,True,3,False
100908144,True,True,3,True
100908730,False,True,1,False
100908830,False,True,1,False
100909014,False,True,1,False
100909035,False,True,1,False
100909170,True,True,17,True
100910715,False,True,1,False
100910904,True,True,7,True
100911142,False,True,2,False
100911267,False,True,2,False
100911495,True,True,6,True
100911882,True,True,2,True
100912393,False,True,2,False
100912505,False,True,1,False
100913580,True,True,3,True
100913921,True,True,5,True
100914265,True,True,4,True
100914291,True,True,3,True
100914738,True,True,2,True
100915555,False,True,5,False
100916301,True,False,2,False
100917358,True,False,1,False
100918153,True,True,4,True
