alvo,descricao,modelo,observacoes_teste,share_zero_teste,r2,rmse,mae,delta_r2_vs_total,delta_rmse_vs_total
custo_manutencao_interno_por_km_deflacionado,alvo principal: custo interno total (mao de obra + pecas; charge_flag=I) por km deflacionado,random_forest,52353,0.6248925563004986,0.08511873766773315,0.2425910872965645,0.13054089000788077,0.0,0.0
custo_preventivo_mao_obra_por_km_deflacionado,alvo-espelho mais limpo: apenas mao de obra preventiva atribuivel por linha VMRS,random_forest,51643,0.7948221443370834,0.08273096538276492,0.02107786868065585,0.011832948187588278,-0.002387772284968226,-0.22151321861590867
