feature,r2_explicado_pelas_demais,vif_aproximado
n_os_acum,0.92732147965984,13.759223431072384
custo_acum_manutencao,0.9183207891108055,12.243017398351139
custo_preventivo_acum,0.8389847334229015,6.210591214474515
idade_contrato_meses_no_mes,0.8329224864618625,5.985245882724594
n_os_preventivas_acum,0.8270208283281959,5.781042829233305
duracao_contrato_meses,0.8188002117472701,5.5187702460515125
km_rodado_acum,0.8133325283315973,5.357119754514094
km_por_mes,0.6239385554814146,2.6591399213502167
custo_medio_movel_3m,0.6001054366330649,2.50065915270376
custo_preventivo_medio_movel_3m,0.5249358342978604,2.104978805383081
km_acumulado,0.39301946492172735,1.647499289035761
idade_carreta,0.3630960543326992,1.5700954701297605
km_rodado_mes,0.341246685121982,1.5180189266830042
intervalo_medio_os,0.25206007855881885,1.3370057825943191
meses_desde_ultima_os,0.17157344470372993,1.2071076109364578
franquia_km_mensal,0.003520954538941634,1.0035333954637375
