,valor
count,332756.0
mean,0.029044993488947297
std,0.1725840596027356
min,-0.0494289111955436
1%,0.0
5%,0.0
25%,0.0
50%,0.0
75%,0.0
95%,0.12999482703488704
99%,0.5563388617226128
max,17.010669952990987
assimetria,23.020430556404044
share_zero_preventivo,0.7977857649448845
km_minimo_alvo,500.0
