metrica,valor
leituras,290341.0
carretas,10411.0
km_acumulado_nulo,0.0
km_acumulado_negativo,0.0
leituras_com_reset,2504.0
delta_km_negativo,2442.0
delta_km_acima_limite,278.0
limite_delta_km_usado,109463.8649999976
