,custo_manutencao_preventiva_por_km,custo_manutencao_interno_por_km,custo_preventivo_total_mes,custo_total_mes,km_rodado_mes,idade_carreta,km_rodado_acum,custo_acum_manutencao,custo_preventivo_acum,n_os_acum,n_os_preventivas_acum,custo_medio_movel_3m,custo_preventivo_medio_movel_3m,intervalo_medio_os,meses_desde_ultima_os,franquia_km_mensal,duracao_contrato_meses,idade_contrato_meses_no_mes,prop_pecas_garantia
custo_manutencao_preventiva_por_km,1.0,0.7206592132057759,0.7557303272491416,0.5146862371354715,-0.06469909548954583,0.05221134488902376,0.042769153254914156,0.07425917636205764,0.06379637448998128,0.07165345584538514,0.06279617690788764,0.005560817407309866,-0.020035875637603756,-0.025863829518119403,0.040081301234615986,0.0009865586333545767,-0.015512635058456755,0.013787122314666741,-0.00022837533437553587
custo_manutencao_interno_por_km,0.7206592132057759,1.0,0.5378124851413876,0.737870013995337,-0.0817648209009572,0.0835930387276872,0.06445637396177685,0.12876124891070506,0.10982406159077578,0.12231444243428524,0.10285226224679409,0.04887874207153152,0.00578353123549094,-0.0497395336499898,0.008546708313235337,0.0009520182043439872,-0.019372988497805645,0.02342210022189386,0.0007877001400382356
custo_preventivo_total_mes,0.7557303272491416,0.5378124851413876,1.0,0.6905993348920935,0.04721762378159613,0.019757931580098077,0.13355371658239046,0.1359929088897086,0.11012725628627305,0.13699697831743918,0.10993719481222748,0.04001500329924841,-0.009234995481480148,-0.07395422177208434,0.007222769068239091,-0.001795379871265549,-0.024402168428947817,0.00807539819698635,0.00013272929769066161
custo_total_mes,0.5146862371354715,0.737870013995337,0.6905993348920935,1.0,0.11119503226006151,0.033390985211248454,0.21886970206326015,0.2502737007745181,0.19567566352354107,0.24610902974678317,0.1813925825636094,0.13411682753533233,0.04169799997115504,-0.1326141391473956,-0.04745000383133862,-0.003407368706463226,-0.02845318500540335,0.018675050080046045,0.0006109907323581881
km_rodado_mes,-0.06469909548954583,-0.0817648209009572,0.04721762378159613,0.11119503226006151,1.0,-0.23826159719195872,0.4416622039208682,0.23503054249674196,0.18349852652497736,0.26391504131393834,0.1870347303063407,0.22038711046775955,0.12539108270473115,-0.3076858642610861,-0.17994784998104696,-0.010988215925512189,-0.09400601595704593,-0.11164059370951167,0.00047986076164043944
idade_carreta,0.05221134488902376,0.0835930387276872,0.019757931580098077,0.033390985211248454,-0.23826159719195872,1.0,-0.033793198746630546,0.22840505240194467,0.23933003674375553,0.164864483133726,0.0795989400016243,0.06320717029788786,0.045622856334512664,0.11926966366654951,0.09065882633474413,0.022537995736302094,0.06690643462038251,0.27200244088612846,-0.003797655503085301
km_rodado_acum,0.042769153254914156,0.06445637396177685,0.13355371658239046,0.21886970206326015,0.4416622039208682,-0.033793198746630546,1.0,0.6732003460385285,0.6304548406599572,0.769553101607254,0.6937627122402179,0.3365385248890405,0.21849173590395501,-0.2903338790561512,-0.18795971418513638,0.022481254697484104,-0.10902183283700533,0.0728274134910963,0.009829274177074073
custo_acum_manutencao,0.07425917636205764,0.12876124891070506,0.1359929088897086,0.2502737007745181,0.23503054249674196,0.22840505240194467,0.6732003460385285,1.0,0.8733644336482866,0.8801995763843808,0.6833813282797739,0.5143924055478892,0.32325973119489115,-0.3244999781431848,-0.21032448238898982,0.005859082263196324,-0.12999592244161662,0.058822738502324785,0.0052150708414572125
custo_preventivo_acum,0.06379637448998128,0.10982406159077578,0.11012725628627305,0.19567566352354107,0.18349852652497736,0.23933003674375553,0.6304548406599572,0.8733644336482866,1.0,0.7619519408867276,0.6960214598430378,0.4402695086721612,0.40294153982575753,-0.2647069032438099,-0.1848314334756493,0.0015999202755839867,-0.15449476808790724,0.04409212137337182,0.004716248520677277
n_os_acum,0.07165345584538514,0.12231444243428524,0.13699697831743918,0.24610902974678317,0.26391504131393834,0.164864483133726,0.769553101607254,0.8801995763843808,0.7619519408867276,1.0,0.8580067195847892,0.4319591503171342,0.26146602276413444,-0.39318010102865075,-0.27362214307426985,0.011630279156262247,-0.10767526074549462,0.11537741111185058,0.00446271731050894
n_os_preventivas_acum,0.06279617690788764,0.10285226224679409,0.10993719481222748,0.1813925825636094,0.1870347303063407,0.0795989400016243,0.6937627122402179,0.6833813282797739,0.6960214598430378,0.8580067195847892,1.0,0.32180349473254594,0.23553361718827032,-0.3265532369044677,-0.2826028306017874,0.009492025981581085,-0.10650199821220765,0.14178713552324063,0.004562208182400629
custo_medio_movel_3m,0.005560817407309866,0.04887874207153152,0.04001500329924841,0.13411682753533233,0.22038711046775955,0.06320717029788786,0.3365385248890405,0.5143924055478892,0.4402695086721612,0.4319591503171342,0.32180349473254594,1.0,0.6851614506833369,-0.2327984768709545,-0.29907287060313503,-0.004467341242757356,-0.0462489876036446,0.025308693401047064,0.005197360029290359
custo_preventivo_medio_movel_3m,-0.020035875637603756,0.00578353123549094,-0.009234995481480148,0.04169799997115504,0.12539108270473115,0.045622856334512664,0.21849173590395501,0.32325973119489115,0.40294153982575753,0.26146602276413444,0.23553361718827032,0.6851614506833369,1.0,-0.13366454893096927,-0.2069993916258547,-0.0027106349398467,-0.045075407411643,0.007216381369874892,0.0035772855961824354
intervalo_medio_os,-0.025863829518119403,-0.0497395336499898,-0.07395422177208434,-0.1326141391473956,-0.3076858642610861,0.11926966366654951,-0.2903338790561512,-0.3244999781431848,-0.2647069032438099,-0.39318010102865075,-0.3265532369044677,-0.2327984768709545,-0.13366454893096927,1.0,0.23746934246955553,-0.005929713282870116,0.0640319510211353,0.09717307595165622,-0.0017449585228423903
meses_desde_ultima_os,0.040081301234615986,0.008546708313235337,0.007222769068239091,-0.04745000383133862,-0.17994784998104696,0.09065882633474413,-0.18795971418513638,-0.21032448238898982,-0.1848314334756493,-0.27362214307426985,-0.2826028306017874,-0.29907287060313503,-0.2069993916258547,0.23746934246955553,1.0,0.0001258950478702932,-0.026492224587607294,-0.030093368958616352,-0.004911132754003542
franquia_km_mensal,0.0009865586333545767,0.0009520182043439872,-0.001795379871265549,-0.003407368706463226,-0.010988215925512189,0.022537995736302094,0.022481254697484104,0.005859082263196324,0.0015999202755839867,0.011630279156262247,0.009492025981581085,-0.004467341242757356,-0.0027106349398467,-0.005929713282870116,0.0001258950478702932,1.0,-0.03998337128400776,-0.0248154850474039,-0.00045457314939880057
duracao_contrato_meses,-0.015512635058456755,-0.019372988497805645,-0.024402168428947817,-0.02845318500540335,-0.09400601595704593,0.06690643462038251,-0.10902183283700533,-0.12999592244161662,-0.15449476808790724,-0.10767526074549462,-0.10650199821220765,-0.0462489876036446,-0.045075407411643,0.0640319510211353,-0.026492224587607294,-0.03998337128400776,1.0,0.8573719525489544,-0.0027026758528180517
idade_contrato_meses_no_mes,0.013787122314666741,0.02342210022189386,0.00807539819698635,0.018675050080046045,-0.11164059370951167,0.27200244088612846,0.0728274134910963,0.058822738502324785,0.04409212137337182,0.11537741111185058,0.14178713552324063,0.025308693401047064,0.007216381369874892,0.09717307595165622,-0.030093368958616352,-0.0248154850474039,0.8573719525489544,1.0,-0.002894166417819809
prop_pecas_garantia,-0.00022837533437553587,0.0007877001400382356,0.00013272929769066161,0.0006109907323581881,0.00047986076164043944,-0.003797655503085301,0.009829274177074073,0.0052150708414572125,0.004716248520677277,0.00446271731050894,0.004562208182400629,0.005197360029290359,0.0035772855961824354,-0.0017449585228423903,-0.004911132754003542,-0.00045457314939880057,-0.0027026758528180517,-0.002894166417819809,1.0
