campo,soma,media,mediana,p95,p99,max,negativos,zeros
total_interno_mao_obra,41101326.8,172.1031362795099,104.42500000000001,535.5,1043.5789999999963,16116.0,161,5990
total_interno_pecas,37896772.349999994,158.68474047182372,14.03,804.5344999999998,1921.9440999999965,31944.85,144,66031
custo_total,78998099.15,330.78787675133367,146.66,1267.78,2640.366399999999,32143.57,183,654
