tipo_contrato,observacoes,custo_por_km_mediano,custo_por_km_mediano_positivo,custo_por_km_medio,taxa_ocorrencia,km_mediano,custo_preventivo_total,custo_total
RENTAL,34685,0.0,0.0981543415641377,0.04136379905436383,0.14778722790831772,1858.793312112785,2083804.27,6394380.46
LEASE,298071,0.0,0.049202942979767,0.027611516998324346,0.20853756319803,1906.2827386437905,14885687.55,48957803.32
