metrica,valor
linhas_base_total,47715
carretas,9585
anos,2020-2025
obs_y_valido,47715
share_y_zero_pct,3.13
y_media,1669.18
y_mediana,812.26
y_media_positivos,1723.06
y_mediana_positivos,858.89
y_p90,4208.49
y_p99,11804.41
y_max,62230.92
assimetria,3.82
custo_total_nominal_mi,74.617
custo_total_real_mi,79.645
n_os_total,217040
