,ano_modelo,eixos,comprimento,idade_carreta,km_acumulado_fim_ano,km_rodado_ano,n_sistemas_vmrs_distintos_ano,share_pm_ano,n_os_ano,custo_medio_por_os_ano,n_os_ano_anterior,n_os_acum_ate_ano_anterior,anos_ativo_ate_ano_anterior,custo_ano_anterior,custo_acum_ate_ano_anterior,tempo_contrato_meses_fim_ano,tempo_contrato_meses_inicio_ano,share_maint_ano,n_clientes_ano,trocou_contrato_ano
ano_modelo,1.0,0.029081986691090828,-0.0693061872332488,-0.9206366821423162,-0.11848418263715566,0.5127662581178607,0.14267824842498456,-0.1672209137643908,0.267916548460118,-0.1843910441320772,0.2734295794495764,0.05653807886617694,-0.07737781114544805,0.03104460404996446,-0.09843246842727132,-0.00511861776179969,-0.029899150167403424,0.0059429376779856135,0.1199848389083023,-0.10210923565654621
eixos,0.029081986691090828,1.0,0.10815986815871854,-0.01419921761107736,0.05317670547648072,0.043980234313617604,0.028238955150957437,-0.027832975521685215,0.02459235539730526,0.05710602984744285,0.0349238983007757,-0.0020949059787535246,-0.025706366724718675,0.06624801368305393,0.033251263864038275,0.014751607033705663,0.0243001152466579,-0.08783104845527588,-0.025053981878297108,-0.01944757086218
comprimento,-0.0693061872332488,0.10815986815871854,1.0,0.055815546507082946,-0.09461192491522769,-0.09118780965710661,-0.099460562742316,0.03541958640017583,-0.11317202551649332,-0.04628781056174389,-0.11446171066508316,-0.07063188645405986,-0.012055892686882024,-0.08937962179825563,-0.05904856862445058,-0.04085427346165321,-0.035099796486213614,0.09878398376709449,0.012883785855546422,0.004818807415242373
idade_carreta,-0.9206366821423162,-0.01419921761107736,0.055815546507082946,1.0,0.23088802090418595,-0.48261271581414156,-0.0791626830056593,0.14894555454531377,-0.1963037335064724,0.22872514905742253,-0.2073304872406097,0.17340237579196288,0.3365307755554283,0.030425853076721483,0.30169177758782817,0.07915068507205945,0.10290635272399462,-0.0009600878951733768,-0.08792944831226633,0.13669815289447668
km_acumulado_fim_ano,-0.11848418263715566,0.05317670547648072,-0.09461192491522769,0.23088802090418595,1.0,0.33168400407207443,0.32575827478569713,-0.16564867549758566,0.3704983295024728,0.301883215660769,0.40080667894321076,0.4829635229284623,0.34112542999744505,0.4293251865094432,0.4884877621910918,0.2598406810133622,0.21840878872828964,0.10763722606602442,0.20634066782261234,0.11723048069075719
km_rodado_ano,0.5127662581178607,0.043980234313617604,-0.09118780965710661,-0.48261271581414156,0.33168400407207443,1.0,0.5260846462569713,-0.1666786004060936,0.6195170251979968,0.22837855744408345,0.44726240356884117,0.3299616648793241,-0.020640945602896688,0.33857538689379846,0.23487959120633983,0.03306469728722141,-0.0008758592469919142,0.253632186742419,0.20702379468811746,-0.0023812526986478947
n_sistemas_vmrs_distintos_ano,0.14267824842498456,0.028238955150957437,-0.099460562742316,-0.0791626830056593,0.32575827478569713,0.5260846462569713,1.0,-0.15347410876276482,0.8449648132945999,0.29482142411314866,0.5134353380476312,0.3867529727490598,0.18888023621875355,0.450651797483561,0.349338981007899,0.10991487833809536,0.11921663374601403,0.1907690204467763,0.2613793228374455,0.05128035322772278
share_pm_ano,-0.1672209137643908,-0.027832975521685215,0.03541958640017583,0.14894555454531377,-0.16564867549758566,-0.1666786004060936,-0.15347410876276482,1.0,-0.34953777861597035,0.11476928724010114,-0.22295427760812325,-0.148412532098138,-0.022644757193889236,-0.1288420097238424,-0.10133103615897225,-0.1556934021794367,-0.1372270082450286,0.05658079550781425,-0.1585334231230187,0.025646504749819735
n_os_ano,0.267916548460118,0.02459235539730526,-0.11317202551649332,-0.1963037335064724,0.3704983295024728,0.6195170251979968,0.8449648132945999,-0.34953777861597035,1.0,0.24892786019875887,0.6176045492946772,0.44019811900844064,0.18534131472086782,0.4934449162846127,0.36744836865484165,0.1507196959777116,0.13789173992839474,0.19826631160692912,0.33428856729584827,0.036357756149565566
custo_medio_por_os_ano,-0.1843910441320772,0.05710602984744285,-0.04628781056174389,0.22872514905742253,0.301883215660769,0.22837855744408345,0.29482142411314866,0.11476928724010114,0.24892786019875887,1.0,0.23445124604629344,0.2828713265358191,0.21055115387770823,0.3486426447374221,0.3365118275015469,0.05336169497935032,0.046656511283033116,0.19682422967753138,0.06566805682156246,0.10477762944611439
