"ID_CARRETA","DESCRICAO_CARRETA","CHASSI_VIN","PLACA","COD_MONTADORA","COD_MODELO","ANO_MODELO","DATA_ENTRADA_SERVICO","EIXOS","COMPRIMENTO","FLAG_REFRIGERADO","COD_CLASSE","CLASSE","IDADE_CLASSE_DE","IDADE_CLASSE_ATE","COD_GRUPO_MANUTENCAO","GRUPO_MANUTENCAO","STATUS_EQUIPAMENTO"
115759007,"53' TRIDEM CHASSIS","2VMMCS534NS000098","V1556K","MCHAS","",2022,,3,"53","N","HIGHWAY","Highway Trailers (Class 1)",0,7,"","","Maintenance Lease"
115759009,"53' TRIDEM CHASSIS","2VMMCS536NS000099","V1557K","MCHAS","",2022,,3,"53","N","HIGHWAY","Highway Trailers (Class 1)",0,7,"","","Maintenance Lease"
115759011,"53' TRIDEM CHASSIS","2VMMCS539NS000100","V1558K","MCHAS","",2022,,3,"53","N","HIGHWAY","Highway Trailers (Class 1)",0,7,"","","Maintenance Lease"
115759013,"53' TRIDEM CHASSIS","2VMMCS530NS000101","V1559K","MCHAS","",2022,,3,"53","N","HIGHWAY","Highway Trailers (Class 1)",0,7,"","","Maintenance Lease"
115759015,"53' TRIDEM CHASSIS","2VMMCS532NS000102","V1560K","MCHAS","",2022,,3,"53","N","HIGHWAY","Highway Trailers (Class 1)",0,7,"","","Maintenance Lease"
115759017,"53' TRIDEM CHASSIS","2VMMCS534NS000103","V1561K","MCHAS","",2022,,3,"53","N","HIGHWAY","Highway Trailers (Class 1)",0,7,"","","Maintenance Lease"
115759019,"53' TRIDEM CHASSIS","2VMMCS536NS000104","V1562K","MCHAS","",2022,,3,"53","N","HIGHWAY","Highway Trailers (Class 1)",0,7,"","","Maintenance Lease"
115759021,"53' TRIDEM CHASSIS","2VMMCS538NS000105","V1563K","MCHAS","",2022,,3,"53","N","HIGHWAY","Highway Trailers (Class 1)",0,7,"","","Maintenance Lease"
115759023,"53' TRIDEM CHASSIS","2VMMCS53XNS000106","V1564K","MCHAS","",2022,,3,"53","N","HIGHWAY","Highway Trailers (Class 1)",0,7,"","","Maintenance Lease"
115759025,"53' TRIDEM CHASSIS","2VMMCS531NS000107","V1565K","MCHAS","",2022,,3,"53","N","HIGHWAY","Highway Trailers (Class 1)",0,7,"","","Maintenance Lease"
115759027,"53' TRIDEM CHASSIS","2VMMCS533NS000108","V1566K","MCHAS","",2022,,3,"53","N","HIGHWAY","Highway Trailers (Class 1)",0,7,"","","Maintenance Lease"
115759029,"53' TRIDEM CHASSIS","2VMMCS535NS000109","V1567K","MCHAS","",2022,,3,"53","N","HIGHWAY","Highway Trailers (Class 1)",0,7,"","","Maintenance Lease"
115759031,"53' TRIDEM CHASSIS","2VMMCS531NS000110","V1568K","MCHAS","",2022,,3,"53","N","HIGHWAY","Highway Trailers (Class 1)",0,7,"","","Maintenance Lease"
115759033,"53' TRIDEM CHASSIS","2VMMCS533NS000111","V1569K","MCHAS","",2022,,3,"53","N","HIGHWAY","Highway Trailers (Class 1)",0,7,"","","Maintenance Lease"
115759035,"53' TRIDEM CHASSIS","2VMMCS535NS000112","V1570K","MCHAS","",2022,,3,"53","N","HIGHWAY","Highway Trailers (Class 1)",0,7,"","","Maintenance Lease"
115759037,"53' TRIDEM CHASSIS","2VMMCS537NS000113","V1571K","MCHAS","",2022,,3,"53","N","HIGHWAY","Highway Trailers (Class 1)",0,7,"","","Maintenance Lease"
115759390,"45' B-TRAIN PUP TRIDEM CHASSIS","2VMMCS536NS000118","V9360J","MCHAS","",2022,,3,"45","N","HIGHWAY","Highway Trailers (Class 1)",0,7,"","","Maintenance Lease"
115759514,"53' B-LEAD TRIDEM CHASSIS","2VMMCS436NS000119","V9359J","MCHAS","",2022,,3,"53","N","HIGHWAY","Highway Trailers (Class 1)",0,7,"","","Maintenance Lease"
