ID_CARRETA,ano,y_custo_anual,custo_nominal,n_os_ano,n_os_preventivas_ano,custo_preventivo_ano,n_sistemas_vmrs,km_rodado_ano,delta_km_medio_os,km_acumulado_fim_ano,provincia_operacao,ano_modelo,ano_entrada,eixos,comprimento,flag_refrigerado,tailgate_flag,unit_subtype,tire_size,suspension_type,new_used_indicator,cod_montadora,vmrs_predominante,idade_carreta,share_prev,custo_medio_os,custo_acum,n_os_acum,custo_ano_anterior,n_os_ano_anterior,intervalo_medio_os_hist,anos_desde_ultima_os,km_acumulado_defasado
83037,2020,353.3700736214529,293.31,3,0,0.0,2,9120.0,4560.0,151103.0,,2011.0,2010.0,2.0,53.0,N,N,DSS,LPX225,SPRING,NEW,STGHTN,08,10.0,0.0,117.7900245404843,0.0,0,,,,,
83037,2022,886.2202743911834,812.05,5,2,215.54998632473695,4,25521.0,5104.2,176624.0,Ontario,2011.0,2010.0,2.0,53.0,N,N,DSS,LPX225,SPRING,NEW,STGHTN,04,12.0,0.24322393941259776,177.24405487823668,353.3700736214529,3,353.3700736214529,3.0,89.88523726851852,1.0650239561943875,151103.0
83037,2023,1329.761733659542,1266.02,5,0,0.0,2,14786.0,2957.2,191410.0,Ontario,2011.0,2010.0,2.0,53.0,N,N,DSS,LPX225,SPRING,NEW,STGHTN,01,13.0,0.0,265.9523467319084,1239.5903480126362,8,886.2202743911834,5.0,122.82657738095237,0.2026009582477755,176624.0
83037,2024,438.58473527732724,427.53,5,1,200.54482702819615,4,11437.0,2287.4,202847.0,Ontario,2011.0,2010.0,2.0,53.0,N,N,DSS,LPX225,SPRING,NEW,STGHTN,PM,14.0,0.45725446167520406,87.71694705546545,2569.3520816721784,13,1329.761733659542,5.0,106.16374517746915,0.06844626967830253,191410.0
83037,2025,4036.655487560096,4016.4799999999996,5,2,705.2046624186273,3,9927.0,1985.4,212774.0,Ontario,2011.0,2010.0,2.0,53.0,N,N,DSS,LPX225,SPRING,NEW,STGHTN,09,15.0,0.17470023503166954,807.3310975120191,3007.9368169495056,18,438.58473527732724,5.0,96.73099264705883,0.05475701574264202,202847.0
83038,2020,283.7827583155474,235.55,3,0,0.0,2,4178.0,2089.0,171512.0,,2011.0,2010.0,2.0,53.0,N,N,DSS,295/75R22.5,SPRING,NEW,STGHTN,01,10.0,0.0,94.59425277184914,0.0,0,,,,,
83038,2021,430.82837647643805,369.68,4,1,268.2305213422879,3,15507.0,3876.75,187019.0,,2011.0,2010.0,2.0,53.0,N,N,DSS,295/75R22.5,SPRING,NEW,STGHTN,PM,11.0,0.6225925124431941,107.70709411910951,283.7827583155474,3,283.7827583155474,3.0,79.44538194444445,0.3750855578370979,171512.0
83038,2022,457.53215668463724,419.24,5,1,234.8884793512892,5,8561.0,1712.2,195580.0,Ontario,2011.0,2010.0,2.0,53.0,N,N,DSS,295/75R22.5,SPRING,NEW,STGHTN,PM,12.0,0.513381356740769,91.50643133692745,714.6111347919855,7,430.82837647643805,4.0,97.97019675925925,0.1998631074606434,187019.0
83038,2023,2077.8091650547717,1978.2099999999998,8,1,65.39467428448451,5,8520.0,1065.0,204100.0,Ontario,2011.0,2010.0,2.0,53.0,N,N,DSS,295/75R22.5,SPRING,NEW,STGHTN,09,13.0,0.03147289721515916,259.72614563184646,1172.1432914766228,12,457.53215668463724,5.0,84.54938973063973,0.26283367556468173,195580.0
83038,2024,703.0302082494915,685.31,2,1,129.95559204016516,2,17920.0,8960.0,222020.0,Ontario,2011.0,2010.0,2.0,53.0,N,N,DSS,295/75R22.5,SPRING,NEW,STGHTN,01,14.0,0.18485065152996455,351.51510412474573,3249.9524565313945,20,2077.8091650547717,8.0,70.57756700779726,0.13689253935660506,204100.0
