ID_CARRETA,motivo
108235971,sem_ordem_de_servico_no_periodo_2020_2025
108235973,sem_ordem_de_servico_no_periodo_2020_2025
108235975,sem_ordem_de_servico_no_periodo_2020_2025
108235977,sem_ordem_de_servico_no_periodo_2020_2025
108235979,sem_ordem_de_servico_no_periodo_2020_2025
108235981,sem_ordem_de_servico_no_periodo_2020_2025
108235983,sem_ordem_de_servico_no_periodo_2020_2025
108235985,sem_ordem_de_servico_no_periodo_2020_2025
108235987,sem_ordem_de_servico_no_periodo_2020_2025
108235989,sem_ordem_de_servico_no_periodo_2020_2025
108235991,sem_ordem_de_servico_no_periodo_2020_2025
108590529,sem_ordem_de_servico_no_periodo_2020_2025
108590531,sem_ordem_de_servico_no_periodo_2020_2025
108590533,sem_ordem_de_servico_no_periodo_2020_2025
108590535,sem_ordem_de_servico_no_periodo_2020_2025
108590537,sem_ordem_de_servico_no_periodo_2020_2025
108590539,sem_ordem_de_servico_no_periodo_2020_2025
108590541,sem_ordem_de_servico_no_periodo_2020_2025
108590543,sem_ordem_de_servico_no_periodo_2020_2025
108590545,sem_ordem_de_servico_no_periodo_2020_2025
108592591,sem_ordem_de_servico_no_periodo_2020_2025
108592593,sem_ordem_de_servico_no_periodo_2020_2025
108592595,sem_ordem_de_servico_no_periodo_2020_2025
108592597,sem_ordem_de_servico_no_periodo_2020_2025
108592599,sem_ordem_de_servico_no_periodo_2020_2025
108592601,sem_ordem_de_servico_no_periodo_2020_2025
108592603,sem_ordem_de_servico_no_periodo_2020_2025
108592605,sem_ordem_de_servico_no_periodo_2020_2025
108592607,sem_ordem_de_servico_no_periodo_2020_2025
108592609,sem_ordem_de_servico_no_periodo_2020_2025
108592611,sem_ordem_de_servico_no_periodo_2020_2025
108592613,sem_ordem_de_servico_no_periodo_2020_2025
108592615,sem_ordem_de_servico_no_periodo_2020_2025
108592617,sem_ordem_de_servico_no_periodo_2020_2025
108592619,sem_ordem_de_servico_no_periodo_2020_2025
108592621,sem_ordem_de_servico_no_periodo_2020_2025
108886389,sem_ordem_de_servico_no_periodo_2020_2025
108886391,sem_ordem_de_servico_no_periodo_2020_2025
108886393,sem_ordem_de_servico_no_periodo_2020_2025
108886395,sem_ordem_de_servico_no_periodo_2020_2025
108886397,sem_ordem_de_servico_no_periodo_2020_2025
108886399,sem_ordem_de_servico_no_periodo_2020_2025
