variavel,VIF
km_acumulado_fim_ano,93.594
km_acumulado_defasado,90.406
idade_carreta,10.509
ano_modelo,10.3
n_os_acum,9.076
custo_acum,8.685
n_os_ano_anterior,5.817
n_os_ano,5.198
custo_ano_anterior,4.684
n_sistemas_vmrs,3.073
km_rodado_ano,2.504
custo_preventivo_ano,2.188
share_prev,2.152
n_os_preventivas_ano,1.852
delta_km_medio_os,1.803
custo_medio_os,1.539
intervalo_medio_os_hist,1.448
anos_desde_ultima_os,1.223
comprimento,1.121
eixos,1.059
